rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
521,King Tiger,380000,124562639,52,Pets & Animals,2016,7.5,0.5777777777777778
522,SJ Inceptions,378000,91377375,780,Pets & Animals,2013,10.5,6.190476190476191
523,Baby Animals World,377000,45656282,10,Pets & Animals,2011,12.5,0.06666666666666667
524,Patitas Al Rescate,377000,4541023,4,Pets & Animals,2018,5.5,0.06060606060606061
525,Africa Wild Animals,375000,125092894,93,Pets & Animals,2017,6.5,1.1923076923076923
526,THE TOP 10,375000,6224513,198,Pets & Animals,2011,12.5,1.32
527,Rocky,374000,283530025,219,Pets & Animals,2020,3.5,5.214285714285714
528,Pai do Ninão,373000,96582603,727,Pets & Animals,2012,11.5,5.268115942028985
529,Kisan Safar,373000,52515332,1321,Pets & Animals,2018,5.5,20.015151515151516
530,ふうちゃんらいちゃんねる,372000,26087613,347,Pets & Animals,2019,4.5,6.4259259259259265
531,Consejos para mascotas,372000,117828247,171,Pets & Animals,2014,9.5,1.5
532,Kitoons en Français,372000,263573102,1190,Pets & Animals,2018,5.5,18.03030303030303
533,حولي صردي sheep sardi,368000,86713022,542,Pets & Animals,2017,6.5,6.948717948717949
534,미야옹철의 냥냥펀치,367000,99389368,512,Pets & Animals,2018,5.5,7.757575757575758
535,Man And Beast,366000,111909470,45,Pets & Animals,2012,11.5,0.32608695652173914
536,UNDISPUTED NBA Show Network,366000,784023,325,Pets & Animals,2019,4.5,6.018518518518519
537,Pet Talk,364000,39130999,430,Pets & Animals,2017,6.5,5.512820512820514
538,SuperDanii,364000,64618381,492,Pets & Animals,2015,8.5,4.823529411764706
539,K pets,363000,71472,51,Pets & Animals,2017,6.5,0.6538461538461539
540,stacyvlogs,362000,29206556,133,Pets & Animals,2013,10.5,1.0555555555555556
541,Thèm Bò Sát,362000,286083813,373,Pets & Animals,2021,2.5,12.433333333333332
542,Underground Reptiles,362000,210419223,918,Pets & Animals,2009,14.5,5.275862068965517
543,BirdTricks,361000,70973525,1341,Pets & Animals,2007,16.5,6.7727272727272725
544,Radio Daily Life,361000,323509,127,Pets & Animals,2012,11.5,0.9202898550724637
