rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
65,법륜스님의 즉문즉설,1300000,828764939,1982,Nonprofits & Activism,2011,12.5,13.213333333333333
66,Canções Marcantes,1290000,243536339,3249,Nonprofits & Activism,2015,8.5,31.85294117647059
67,Юрист Антон Долгих,1260000,288070556,658,Nonprofits & Activism,2008,15.5,3.5376344086021505
68,القناة الرسمية للشيخ ناصر القطامي,1240000,139752875,2277,Nonprofits & Activism,2009,14.5,13.086206896551724
69,Екклесиаст,1230000,135538887,541,Nonprofits & Activism,2017,6.5,6.935897435897435
70,Jesus me defenda,1230000,202807353,7339,Nonprofits & Activism,2017,6.5,94.08974358974359
71,AlQuranHD القران الكريم,1210000,22497657,199,Nonprofits & Activism,2011,12.5,1.3266666666666667
72,Всё о тюрьме,1210000,333283245,233,Nonprofits & Activism,2017,6.5,2.9871794871794872
73,Iglesia de Jesucristo,1210000,537204443,1649,Nonprofits & Activism,2009,14.5,9.477011494252872
74,Igreja Presbiteriana de Pinheiros,1200000,174717172,9181,Nonprofits & Activism,2011,12.5,61.20666666666667
75,"Rogandar NEWs - Новости, факты, события",1200000,265508038,1019,Nonprofits & Activism,2015,8.5,9.990196078431373
76,NOVA ACRÓPOLE BRASIL,1190000,123721355,1508,Nonprofits & Activism,2008,15.5,8.10752688172043
77,O Bom Samaritano,1170000,196930532,1576,Nonprofits & Activism,2008,15.5,8.473118279569892
78,DissociaDID,1170000,76236011,210,Nonprofits & Activism,2018,5.5,3.1818181818181817
79,قناة عالم مفيد,1170000,191075840,160,Nonprofits & Activism,2010,13.5,0.9876543209876543
80,Зиддер,1150000,315549184,1680,Nonprofits & Activism,2016,7.5,18.666666666666668
81,Blaire White,1150000,227111212,269,Nonprofits & Activism,2015,8.5,2.6372549019607843
82,Philip Mantofa,1140000,170654933,2694,Nonprofits & Activism,2012,11.5,19.521739130434785
83,Настоящее Время. Док,1140000,328841710,1698,Nonprofits & Activism,2018,5.5,25.72727272727273
