rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
662,Anna McNulty,7040000,976699737,334,Entertainment,2014,9.5,2.9298245614035086
663,EvanTubeHD,7030000,4554772889,916,Entertainment,2011,12.5,6.1066666666666665
664,PHD TrolI,7030000,4482487944,928,Entertainment,2017,6.5,11.897435897435898
665,Albasheer Show - البشير شو,7020000,1317534675,1544,Entertainment,2014,9.5,13.543859649122806
666,Prank King Entertainment,7020000,1342157821,257,Entertainment,2013,10.5,2.0396825396825395
667,Masti Tv - Hindi Stories,7010000,1825830926,333,Entertainment,2019,4.5,6.166666666666667
668,AVRprankTV,7010000,945333798,140,Entertainment,2014,9.5,1.2280701754385965
669,Bailey Sarian,7010000,1029995650,544,Entertainment,2013,10.5,4.317460317460317
670,ARE YOU HUNGRY,7010000,4812628461,897,Entertainment,2020,3.5,21.357142857142858
671,Entertainment Access,7000000,3692325068,6143,Entertainment,2013,10.5,48.75396825396825
672,MixiGaming,6990000,2891055959,2392,Entertainment,2012,11.5,17.333333333333332
673,Talking Tom & Friends Brasil,6990000,2837011196,658,Entertainment,2014,9.5,5.771929824561403
674,Mirchi Plus,6980000,2196278577,3732,Entertainment,2010,13.5,23.037037037037038
675,zoom,6960000,4807962107,89603,Entertainment,2007,16.5,452.540404040404
676,KN Channel,6960000,5249680461,1152,Entertainment,2014,9.5,10.105263157894736
677,YL Toys Collection,6950000,1749635756,46,Entertainment,2015,8.5,0.45098039215686275
678,Paulettee,6950000,971616435,964,Entertainment,2014,9.5,8.456140350877194
679,VRZOchannel,6950000,2395109102,1488,Entertainment,2012,11.5,10.782608695652174
680,Un Poco De Todo,6940000,2587133663,1492,Entertainment,2015,8.5,14.627450980392156
681,Movie Talkies,6940000,4190977727,39365,Entertainment,2008,15.5,211.63978494623655
682,É TIPO ISSO,6930000,572923891,291,Entertainment,2014,9.5,2.5526315789473686
683,KOCOWA TV,6930000,5028589808,16157,Entertainment,2017,6.5,207.14102564102564
684,Ju Araújo,6920000,2164689479,1915,Entertainment,2015,8.5,18.774509803921568
685,FPSRussia,6920000,964906383,115,Entertainment,2010,13.5,0.7098765432098766
686,The Beverly Halls,6910000,7218509571,3752,Entertainment,2014,9.5,32.91228070175439
687,TopSib Thailand,6910000,1976274165,1479,Entertainment,2017,6.5,18.961538461538463
688,Mahesh Chavan,6900000,3612155467,943,Entertainment,2015,8.5,9.245098039215685
689,TimOn ChaveS,6890000,1253505161,803,Entertainment,2013,10.5,6.3730158730158735
690,Madan Gowri,6880000,1672684240,2286,Entertainment,2013,10.5,18.142857142857142
691,Dangie Bros,6880000,2603900902,489,Entertainment,2017,6.5,6.269230769230769
692,Fran para meninas,6880000,1569111649,2057,Entertainment,2012,11.5,14.905797101449275
693,Sony Pictures Entertainment,6870000,4842306680,4700,Entertainment,2006,17.5,22.38095238095238
694,Come And Play,6850000,2015472747,294,Entertainment,2015,8.5,2.8823529411764706
695,ALL THE K-POP,6840000,4560633601,27499,Entertainment,2012,11.5,199.268115942029
696,Vanh Leg,6830000,1364157078,58,Entertainment,2011,12.5,0.38666666666666666
697,Epic Meal Time,6830000,565665202,494,Entertainment,2010,13.5,3.049382716049383
698,Andre se hace Gamer,6830000,3288476207,1088,Entertainment,2014,9.5,9.543859649122806
699,Backstreet Boys,6820000,5002112802,279,Entertainment,2009,14.5,1.6034482758620692
700,TAULANY TV,6810000,1532806902,984,Entertainment,2018,5.5,14.909090909090908
701,HTV Entertainment,6800000,2396465804,13417,Entertainment,2014,9.5,117.69298245614034
702,دستور DSTOR I,6800000,1005680633,371,Entertainment,2012,11.5,2.6884057971014492
703,SBS Entertainment,6800000,8872027644,227363,Entertainment,2011,12.5,1515.7533333333333
704,TheThings,6780000,2748448145,3204,Entertainment,2014,9.5,28.105263157894736
705,Blue Club,6780000,3332920808,120,Entertainment,2010,13.5,0.7407407407407408
706,SumanTV,6770000,3182222466,58569,Entertainment,2013,10.5,464.8333333333333
707,YouTube Originals,6760000,644300617,477,Entertainment,2016,7.5,5.3
708,Tri-line,6760000,1801202886,554,Entertainment,2012,11.5,4.0144927536231885
709,Adult Swim,6760000,3837590509,7505,Entertainment,2006,17.5,35.738095238095234
710,Yousef Ahmed,6750000,377815575,522,Entertainment,2014,9.5,4.578947368421052
711,RackaRacka,6740000,1169155529,169,Entertainment,2013,10.5,1.3412698412698412
712,Shadi Srour,6740000,1474216721,96,Entertainment,2013,10.5,0.7619047619047619
713,Golden unique boy,6720000,2444450684,539,Entertainment,2016,7.5,5.988888888888888
714,Disney Junior LA,6720000,120796,1,Entertainment,2010,13.5,0.006172839506172839
715,Rimorav Vlogs,6710000,2551324825,500,Entertainment,2017,6.5,6.41025641025641
716,Eros Now Movies Preview,6710000,2990415292,1712,Entertainment,2012,11.5,12.405797101449275
717,Thisiz Balti,6700000,2041902802,50,Entertainment,2014,9.5,0.4385964912280702
718,Ghiền Mì Gõ,6700000,4203840649,1511,Entertainment,2015,8.5,14.813725490196077
719,Cellbit,6690000,286697306,111,Entertainment,2012,11.5,0.8043478260869565
720,iamSanna,6670000,2368282901,3134,Entertainment,2013,10.5,24.873015873015873
721,tvN drama,6670000,7818119832,53696,Entertainment,2011,12.5,357.97333333333336
722,Ekattor TV,6670000,3048361024,92568,Entertainment,2011,12.5,617.12
723,The Voice Thailand,6670000,4371811922,2728,Entertainment,2012,11.5,19.768115942028984
724,SBS Drama,6660000,7439485586,346146,Entertainment,2011,12.5,2307.64
725,BIBO TOYS ARA,6650000,2034752380,142,Entertainment,2017,6.5,1.8205128205128205
726,انت تستطيع,6650000,3329554943,629,Entertainment,2019,4.5,11.648148148148147
727,The Mik Maks,6650000,5810628263,354,Entertainment,2013,10.5,2.8095238095238098
728,[장난감티비]TOYTV,6650000,3014712025,1713,Entertainment,2014,9.5,15.026315789473685
729,LizAlex Fam,6640000,7059424567,1241,Entertainment,2021,2.5,41.36666666666667
730,Caspar,6630000,767072124,255,Entertainment,2011,12.5,1.7
731,Yao C,6630000,52004197,51,Entertainment,2015,8.5,0.5
732,IndiaGlitz Tamil,6630000,4727929737,39110,Entertainment,2010,13.5,241.41975308641975
733,Nickelodeon UK,6630000,6998601593,3081,Entertainment,2015,8.5,30.205882352941178
734,Life of Sammie & Summer,6620000,662724151,126,Entertainment,2007,16.5,0.6363636363636364
