rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
75,TNT Sports,4970000,3197803525,11862,Sports,2013,10.5,94.14285714285715
76,Premier League,4960000,3523682605,2240,Sports,2019,4.5,41.48148148148148
77,GuidoFTO,4840000,496730940,615,Sports,2013,10.5,4.8809523809523805
78,Enduro Life Media,4830000,1648508960,519,Sports,2012,11.5,3.760869565217391
79,Pakistan Cricket,4790000,1163899526,9928,Sports,2017,6.5,127.28205128205128
80,NOVRITSCH,4700000,921814250,622,Sports,2012,11.5,4.507246376811595
81,IMPACT Wrestling,4670000,2186122156,4029,Sports,2006,17.5,19.185714285714287
82,Edwin Sarkissian,4660000,1217535488,839,Sports,2014,9.5,7.359649122807017
83,Pakistan Super League,4630000,969901957,4932,Sports,2015,8.5,48.35294117647059
84,No Jumper,4620000,1585142123,5414,Sports,2012,11.5,39.231884057971016
85,SportsHD,4610000,1351591259,158,Sports,2015,8.5,1.5490196078431373
86,Satisfying Cakes,4600000,3259993469,2370,Sports,2019,4.5,43.888888888888886
87,Sri Lanka Cricket,4580000,1167284133,2567,Sports,2012,11.5,18.601449275362317
88,MLB,4520000,4095720943,289297,Sports,2005,18.5,1303.1396396396397
89,TRUE GYM MMA,4520000,1510471883,1336,Sports,2014,9.5,11.719298245614034
90,Sony Sports Network,4510000,434846623,2309,Sports,2012,11.5,16.731884057971016
91,TOP 15 CURIOSIDADES,4500000,386667309,250,Sports,2015,8.5,2.4509803921568625
92,Chelsea Football Club,4450000,1082014913,5411,Sports,2006,17.5,25.766666666666666
93,Sky Sports Premier League,4430000,3380629205,9308,Sports,2015,8.5,91.25490196078431
94,Alex Segura LR - Canal Secundario,4400000,957265952,787,Sports,2009,14.5,4.522988505747127
95,SuperSport,4380000,997396623,11884,Sports,2013,10.5,94.31746031746032
96,Unisport,4310000,986002582,2698,Sports,2009,14.5,15.50574712643678
97,TUDN MÃ©xico,4300000,2953766017,34789,Sports,2006,17.5,165.66190476190476
98,BlacktipH,4260000,1704310260,626,Sports,2008,15.5,3.3655913978494625
99,ÐÐ»ÐµÐºÑÐµÐ¹ Ð¡ÑÐ¾Ð»ÑÑÐ¾Ð²,4260000,634868949,629,Sports,2014,9.5,5.517543859649123
100,JioCinema,4230000,2095843344,5448,Sports,2016,7.5,60.53333333333333
101,ÙÙ ØªØ¹ÙÙØ Ø§ÙØ±ÙØ§Ø¶ÙØ©,4230000,479649981,1238,Sports,2016,7.5,13.755555555555555
102,Pongfinity,4200000,1628538273,291,Sports,2015,8.5,2.8529411764705883
103,Neymar Jr,4190000,172697300,439,Sports,2010,13.5,2.7098765432098766
104,Jovem Pan Esportes,4170000,2608888987,17724,Sports,2015,8.5,173.76470588235293
105,Juventus,4160000,947768721,4273,Sports,2005,18.5,19.24774774774775
106,442oons,4150000,3526108561,1677,Sports,2013,10.5,13.30952380952381
107,Calisthenicmovement,4140000,496550890,326,Sports,2012,11.5,2.3623188405797104
108,Susana YÃ¡bar,4100000,556940287,857,Sports,2013,10.5,6.801587301587301
109,Banheiristas,4090000,1102855399,1036,Sports,2016,7.5,11.511111111111111
110,Jules LeBlanc,4070000,343990491,161,Sports,2008,15.5,0.8655913978494624
111,Bundesliga,4050000,1765995883,8655,Sports,2006,17.5,41.214285714285715
112,Aakash Chopra,4040000,1234791429,3270,Sports,2011,12.5,21.8
113,Noel Deyzel,4040000,1437798693,222,Sports,2008,15.5,1.1935483870967742
114,No Life Shaq,4030000,871871135,2564,Sports,2016,7.5,28.48888888888889
