rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
66,ÐÐ°ÑÐ° Ð¸ ÐÐµÐ´Ð²ÐµÐ´Ñ,43300000,36557938284,1476,Film & Animation,2011,12.5,9.84
67,Masha and The Bear,42700000,24720023470,1217,Shows,2014,9.5,10.675438596491228
68,Speed Records,42600000,26883212099,10937,Music,2012,11.5,79.2536231884058
69,Like Nastya Show,42400000,19573533928,620,Entertainment,2017,6.5,7.948717948717949
70,Rihanna,41900000,22572719750,84,Entertainment,2005,18.5,0.37837837837837834
71,Ishtar Music,41600000,17743299160,4502,Trailers,2005,18.5,20.27927927927928
72,Kimberly Loaiza,41600000,5681679638,291,People & Blogs,2016,7.5,3.233333333333333
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39470913830,2423,Education,2011,12.5,16.153333333333332
74,Luisito Comunica,40600000,8700567450,1271,Comedy,2012,11.5,9.210144927536232
75,Toys and Colors,40600000,47269219158,1005,Entertainment,2016,7.5,11.166666666666666
76,elrubiusOMG,40400000,7412569667,703,Gaming,2011,12.5,4.6866666666666665
77,Mikecrack,40100000,16275298042,1884,Gaming,2015,8.5,18.47058823529412
78,shfa2 - Ø´ÙØ§,39900000,24046351080,1600,People & Blogs,2017,6.5,20.512820512820515
79,CarryMinati,39700000,3357707906,186,Comedy,2014,9.5,1.631578947368421
80,LUCCAS NETO - LUCCAS TOON,39600000,22436781411,2324,People & Blogs,2014,9.5,20.385964912280702
81,XXXTENTACION,39300000,10540500880,133,Music,2015,8.5,1.303921568627451
82,Super Simple Songs - Kids Songs,39300000,45002644685,744,Education,2006,17.5,3.5428571428571427
83,WorkpointOfficial,39100000,36219206930,72787,Entertainment,2012,11.5,527.4420289855072
84,GR6 EXPLODE,39000000,25243329390,3045,Music,2014,9.5,26.710526315789476
85,shfa,38600000,21659457990,1000,People & Blogs,2015,8.5,9.80392156862745
86,TEDx Talks,38600000,7358287382,200932,Nonprofits & Activism,2009,14.5,1154.7816091954023
87,Goldmines Gaane Sune Ansune,38500000,16866024555,3551,Music,2015,8.5,34.81372549019608
88,Sony PAL,38400000,28669522293,24084,Shows,2014,9.5,211.26315789473685
89,TheEllenShow,38200000,22764427831,15672,Entertainment,2006,17.5,74.62857142857142
90,One Direction,38200000,13643169970,157,Music,2010,13.5,0.9691358024691358
91,Daddy Yankee,38000000,22808385261,505,Music,2011,12.5,3.3666666666666667
92,Vlad vÃ  Niki,37900000,23559072416,514,,2018,5.5,7.787878787878788
93,Like Nastya ESP,37700000,18297770961,745,Entertainment,2017,6.5,9.551282051282051
94,à¸à¹à¸­à¸ one31,37500000,27345245936,116970,Entertainment,2013,10.5,928.3333333333334
95,ABP NEWS,37400000,13286016666,302716,People & Blogs,2012,11.5,2193.5942028985505
96,Jkk Entertainment,37300000,16428944225,220,Comedy,2017,6.5,2.8205128205128207
97,Maria Clara & JP,37100000,24334248196,745,People & Blogs,2015,8.5,7.303921568627451
98,Bruno Mars,36800000,19469763943,99,Music,2006,17.5,0.4714285714285715
99,PowerKids TV,36800000,19124548098,5650,Film & Animation,2014,9.5,49.561403508771924
100,Ultra Bollywood,36700000,15654956184,9155,Trailers,2009,14.5,52.61494252873563
101,Maroon 5,36600000,22634628718,172,Music,2006,17.5,0.8190476190476191
102,YouTube,36500000,3039820958,746,News & Politics,1970,53.5,1.161993769470405
103,MrBeast Gaming,36400000,6393937621,141,Gaming,2020,3.5,3.357142857142857
104,News,36300000,0,0,,2013,10.5,0.0
105,Ozuna,36200000,23423534244,196,Music,2016,7.5,2.1777777777777776
106,Jess No Limit,36000000,4231839529,2308,Entertainment,2017,6.5,29.58974358974359
107,La Granja de ZenÃ³n,35900000,27264888743,654,Music,2013,10.5,5.190476190476191
108,IndiaTV,35900000,16345614432,273765,News & Politics,2006,17.5,1303.642857142857
109,Saregama Music,35800000,15872784852,7566,Entertainment,2013,10.5,60.047619047619044
